Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
L-carnitine[r]	4	-0.43982	0.77025	0.99999	0.43982	0.28175	0.92566	2.5854	0.79405	0.97978	2	1.3139	0.82282	0.99076	2	2.3424	0.55516	0.9673
(7Z)-octadecenoyl-CoA[r];10,13,16,19-docosatetraenoyl-CoA[r];12,15,18,21-tetracosatetraenoyl-CoA[r];10,13,16-docosatrienoyl-CoA[r]	2	4.3194	0.20237	0.69596	-4.3194	0.78274	1	4.0161	0.39875	0.87507	2	4.0161	0.45747	0.99076	0	NA	NA	NA
chylomicron[s];TAG-chylomicron pool[s];VLDL[s];TAG-VLDL pool[s]	7	-5.5843	0.99281	0.99999	10.522	0.00042376	0.020729	12.088	0.013287	0.22554	3	4.6206	0.48889	0.99076	4	11.99	0.00090356	0.079191
chylomicron remnant[s];VLDL remnant[s]	8	-7.1599	0.99838	0.99999	11.779	0.00010499	0.007704	13.2	0.005953	0.14763	3	4.6206	0.48889	0.99076	5	13.118	0.00034298	0.044463
1,2-diacylglycerol-chylomicron pool[s];fatty acid-chylomicron pool[s]	11	-1.9057	0.93958	0.99999	1.9057	0.10805	0.70084	4.1469	0.91878	0.98796	6	1.1184	0.98018	0.99076	5	4.9257	0.3941	0.92837
1-acylglycerol-chylomicron pool[s];fatty acid-LD-TG3 pool[c]	10	0.52841	0.79402	0.99999	-0.52841	0.26939	0.90708	1.8502	0.98368	0.98987	6	1.1184	0.98018	0.99076	4	1.5556	0.80777	0.9673
1-acylglycerol-chylomicron pool[c];1-acylglycerol-VLDL pool[c]	3	-2.5795	0.90329	0.99999	2.5795	0.13727	0.75377	5.5513	0.29584	0.8133	1	2.6466	0.49357	0.99076	2	4.9275	0.19963	0.74975
fatty acid-LD-TG1 pool[c]	15	-0.48124	0.90879	0.99999	3.8543	0.028763	0.3567	10.959	0.24275	0.75796	8	5.9793	0.7174	0.99076	7	9.6499	0.041479	0.43814
sn-glycerol-3-phosphate[m]	9	4.7748	0.31621	0.84899	-4.7748	0.70514	1	4.5857	0.83001	0.9838	7	4.8767	0.78659	0.99076	2	0.60425	0.7878	0.9673
1,2-diacylglycerol-LD-TAG pool[c]	58	3.5464	0.9023	0.99999	-1.831	0.099493	0.67648	15.938	0.78619	0.97978	33	12.32	0.8589	0.99076	25	10.122	0.41541	0.94785
phosphatidate-LD-TAG pool[c]	28	7.6786	0.27108	0.80162	-7.6785	0.77069	1	13.341	0.37654	0.85827	19	12.582	0.32031	0.93663	9	5.251	0.58117	0.9673
TAG-LD pool[c]	22	2.3636	0.77483	0.99999	0.42164	0.11563	0.71797	9.673	0.70839	0.97978	14	6.2203	0.91784	0.99076	8	7.8122	0.18007	0.70146
1-acylglycerol-LD-TG1 pool[c];1-acylglycerol-LD-PI pool[c];1-acylglycerol-LD-PC pool[c];1-acylglycerol-LD-PE pool[c];1-acylglycerol-LD-PS pool[c];1-acylglycerol-LD-SM pool[c]	14	0.16452	0.86609	0.99999	-0.16452	0.20212	0.83405	4.9936	0.9309	0.98796	8	3.0422	0.95696	0.99076	6	4.115	0.58807	0.9673
fatty acid-LD-TG2 pool[c]	27	-3.245	0.9943	0.99999	3.245	0.021006	0.29832	10.682	0.72856	0.97978	12	5.7147	0.90588	0.99076	15	9.2206	0.24732	0.81457
1,2-diacylglycerol-LD-PI pool[c]	36	2.9567	0.83739	0.99999	-2.9567	0.26332	0.90708	10.64	0.91205	0.98725	21	8.6986	0.9026	0.99076	15	6.1913	0.68181	0.9673
fatty acid-LD-PI pool[c];fatty acid-LD-PS pool[c]	13	-0.77571	0.90492	0.99999	0.77571	0.15366	0.78663	4.2894	0.94619	0.98796	7	2.0357	0.9704	0.99076	6	4.115	0.58807	0.9673
1,2-diacylglycerol-LD-PC pool[c]	23	3.8353	0.64214	0.99999	-3.8353	0.44781	1	8.7559	0.8385	0.9838	14	7.6845	0.79502	0.99076	9	4.413	0.70016	0.9673
fatty acid-LD-PC pool[c];fatty acid-LD-PE pool[c]	39	-3.9379	0.99884	0.99999	6.0298	0.0014651	0.046909	14.244	0.57954	0.97335	17	8.0974	0.85409	0.99076	22	11.847	0.13074	0.65625
1,2-diacylglycerol-LD-PE pool[c];1,2-diacylglycerol-LD-PS pool[c]	23	6.0226	0.3951	0.91149	-6.0234	0.66386	1	9.8892	0.71118	0.97978	15	9.4368	0.61891	0.99076	8	3.8462	0.72799	0.9673
1,2-diacylglycerol-LD-SM pool[c]	21	5.0569	0.47173	0.97273	-5.0569	0.59318	1	8.2372	0.83595	0.9838	14	7.6845	0.79502	0.99076	7	3.3997	0.73679	0.9673
fatty acid-LD-SM pool[c]	16	0.1616	0.88281	0.99999	-0.1616	0.18516	0.81767	6.0726	0.90552	0.98725	9	3.7949	0.94153	0.99076	7	4.878	0.52933	0.9673
acyl-CoA-LD-TG2 pool[c]	14	3.0055	0.60935	0.99999	-3.0055	0.45984	1	10.986	0.21035	0.70828	9	8.49	0.40251	0.99076	5	6.9933	0.14509	0.65625
acylglycerone-phosphate[c]	2	5.1326	0.14188	0.58326	-5.1326	0.83858	1	4.8618	0.28139	0.79884	2	4.8618	0.33356	0.95436	0	NA	NA	NA
tetracosanoyl-CoA[p];(15Z)-tetracosenoyl-CoA[p]	5	1.098	0.64137	0.99999	-1.098	0.40808	1	2.6574	0.84244	0.9838	4	1.4965	0.93081	0.99076	1	2.9492	0.34564	0.90068
phytanoyl-CoA[p]	2	1.9296	0.44765	0.95207	-1.9296	0.56857	1	1.0323	0.81054	0.98376	1	2.6499	0.49305	0.99076	1	-1.19	0.88192	0.97155
2-hydroxyphytanoyl-CoA[p];2(S)-pristanal[p]	2	-1.9378	0.84226	0.99999	1.9378	0.20829	0.83934	0.81685	0.83195	0.9838	0	NA	NA	NA	2	0.81685	0.76364	0.9673
(2R,6S,10S)-pristanate[p]	10	0.2636	0.81546	0.99999	-0.2636	0.247	0.90708	6.9119	0.58144	0.97335	5	5.2138	0.59685	0.99076	5	4.5612	0.44848	0.95692
(2S)-pristanoyl-CoA[p]	12	2.216	0.66253	0.99999	-2.216	0.40667	1	8.0832	0.52157	0.95019	8	5.8731	0.73118	0.99076	4	5.6945	0.23792	0.81031
(2R)-pristanoyl-CoA[p]	2	5.392	0.12547	0.54825	-5.392	0.85422	1	5.1315	0.24779	0.76288	2	5.1315	0.29694	0.93225	0	NA	NA	NA
(2R,6R,10R)-trimethyl-hendecanoyl-CoA[p]	3	1.1979	0.57487	0.99999	-1.1979	0.45855	1	4.1721	0.49569	0.94215	2	3.0244	0.6073	0.99076	1	2.9492	0.34564	0.90068
(2S,6R,10R)-trimethyl-hendecanoyl-CoA[p];25(S)THCA-CoA[p];25(S)THCA-CoA[m]	3	3.8658	0.27546	0.80696	-3.8658	0.72379	1	2.8598	0.68768	0.97978	3	2.8598	0.74432	0.99076	0	NA	NA	NA
linoleoyl-CoA[p];(13Z)-eicosenoyl-CoA[p]	13	16.883	6.4361e-05	0.0043592	-16.515	0.9997	1	15.906	0.00258	0.094653	12	16.799	0.0013986	0.053365	1	-0.84501	0.85378	0.96952
decanoyl-CoA[m];undecanoyl-CoA[m];nonanoyl-CoA[m];heptanoyl-CoA[m]	5	-0.39989	0.78799	0.99999	0.39989	0.2684	0.90708	1.4048	0.93063	0.98796	4	-0.15796	0.98324	0.99076	1	3.4572	0.27718	0.83213
(2E)-decenoyl-CoA[m]	6	3.3685	0.41355	0.92484	-3.3685	0.6119	1	1.8702	0.93368	0.98796	6	1.8702	0.96131	0.99076	0	NA	NA	NA
(2E)-octenoyl-CoA[m];(2E)-undecenoyl-CoA[m];(2E)-nonenoyl-CoA[m];(2E)-heptenoyl-CoA[m]	4	2.7799	0.42434	0.9312	-2.7799	0.59678	1	1.4684	0.89336	0.98725	4	1.4684	0.93225	0.99076	0	NA	NA	NA
hexanoyl-CoA[m];pentanoyl-CoA[m]	4	-1.6773	0.86374	0.99999	1.6773	0.1857	0.81767	1.1836	0.91193	0.98725	2	-0.72502	0.95596	0.99076	2	2.3989	0.54667	0.9673
(2E)-hexenoyl-CoA[m];(2E)-pentenoyl-CoA[m]	3	1.7895	0.50586	0.9898	-1.7895	0.52023	1	1.2487	0.86505	0.98725	2	1.575	0.7957	0.99076	1	-0.064585	0.77474	0.9673
(5Z)-dodecenoyl-CoA[m];(3Z)-dodecenoyl-CoA[m];cis,cis-3,6-dodecadienoyl-CoA[m]	6	0.60386	0.72149	0.99999	-0.60386	0.33292	0.97875	2.1209	0.92057	0.98796	5	0.7772	0.97599	0.99076	1	3.4572	0.27718	0.83213
trans,cis-lauro-2,6-dienoyl-CoA[m]	5	3.5478	0.36199	0.88311	-3.5478	0.6545	1	2.2319	0.87824	0.98725	5	2.2319	0.92063	0.99076	0	NA	NA	NA
8(R)-hydroxy-hexadeca-(4E,6E,10Z)-trienoate[m];6(R)-hydroxy-tetradeca-(4E,8Z)-dienoate[m];8(S)-hydroxy-hexadeca-(4E,6E,10Z)-trienoate[m];6(S)-hydroxy-tetradeca-(4E,8Z)-dienoate[m]	5	-0.34603	0.78341	0.99999	0.34603	0.27298	0.91171	1.2424	0.93849	0.98796	4	-0.3396	0.98597	0.99211	1	3.4572	0.27718	0.83213
8(R)-hydroxy-hexadeca-(2E,6E,10Z)-trienoate[m];6(R)-hydroxy-tetradeca-(2E,8Z)-dienoate[m];8(S)-hydroxy-hexadeca-(2E,6E,10Z)-trienoate[m];6(S)-hydroxy-tetradeca-(2E,8Z)-dienoate[m]	4	3.7076	0.32316	0.85249	-3.7076	0.68511	1	3.8896	0.62757	0.97734	3	4.0424	0.57807	0.99076	1	0.77753	0.6674	0.9673
4(R)-hydroxy-dodec-(6Z)-enoate[m];4(S)-hydroxy-dodec-(6Z)-enoate[m]	3	-1.5704	0.8422	0.99999	1.5704	0.20367	0.83604	1.404	0.85178	0.98554	2	-0.72502	0.95596	0.99076	1	3.4572	0.27718	0.83213
4(R),8-dimethyl-nonanoyl-CoA[m]	2	-5.1836	0.97481	0.99999	14.421	3.2724e-05	0.0036017	6.5392	0.11169	0.54483	1	0.30677	0.81567	0.99076	1	8.9411	0.003607	0.13902
4(R),8-dimethyl-trans-2-nonenoyl-CoA[m];2,6-dimethyl-trans-2-heptenoyl-CoA[m];4-methyl-trans-2-pentenoyl-CoA[m]	4	-1.7984	0.87124	0.99999	8.3303	0.0047461	0.12113	5.7377	0.35339	0.85452	3	1.4631	0.88489	0.99076	1	8.9411	0.003607	0.13902
2(R),6-dimethyl-heptanoyl-CoA[m]	4	1.0147	0.62526	0.99999	-1.0147	0.41839	1	3.5196	0.67936	0.97978	3	2.068	0.83263	0.99076	1	3.4572	0.27718	0.83213
2(S),6-dimethyl-heptanoyl-CoA[m]	3	-1.4903	0.83644	0.99999	9.0328	0.0027049	0.076827	7.9993	0.070869	0.44571	2	3.4747	0.53988	0.99076	1	8.9411	0.003607	0.13902
4-methyl-pentanoyl-CoA[m]	5	-4.4948	0.97698	0.99999	10.337	0.00075424	0.029516	5.2233	0.51178	0.9497	3	-0.41486	0.97319	0.99076	2	8.7669	0.010696	0.26703
all-trans-decaprenyl-diphosphate[c]	2	1.0965	0.54498	0.99999	-1.0965	0.48426	1	1.108	0.80263	0.98237	1	1.7922	0.62476	0.99076	1	-0.22535	0.79275	0.9673
3-decaprenyl-4-hydroxybenzoate[m]	2	2.158	0.42126	0.9301	-2.158	0.59132	1	1.4769	0.76131	0.97978	2	1.4769	0.80617	0.99076	0	NA	NA	NA
3,4-dihydroxy-5-all-trans-decaprenylbenzoate[m]	2	2.6846	0.36196	0.88311	-2.6846	0.64246	1	2.2035	0.66777	0.97978	2	2.2035	0.72109	0.99076	0	NA	NA	NA
SAM[m];SAH[m]	2	1.5362	0.49358	0.98577	-1.5362	0.52891	1	0.80999	0.83261	0.9838	2	0.80999	0.86839	0.99076	0	NA	NA	NA
2-methoxy-6-all trans-decaprenyl-2-methoxy-1,4-benzoquinol[m]	2	2.2717	0.40825	0.91935	-2.2717	0.60253	1	1.6538	0.73994	0.97978	2	1.6538	0.78705	0.99076	0	NA	NA	NA
6-methoxy-3-methyl-2-all-trans-decaprenyl-1,4-benzoquinol[m]	2	-0.30494	0.70001	0.99999	0.30494	0.34588	1	0.67531	0.84514	0.9838	1	0.18403	0.82818	0.99076	1	0.771	0.66831	0.9673
3-demethylubiquinol-10[m]	2	0.10788	0.65661	0.99999	-0.10788	0.38541	1	1.225	0.79001	0.97978	1	0.96148	0.73986	0.99076	1	0.771	0.66831	0.9673
[protein]-L-cysteine[c]	5	0.23184	0.73073	0.99999	-0.23184	0.32448	0.97551	2.8264	0.82647	0.9838	2	2.782	0.64242	0.99076	3	1.3774	0.76951	0.9673
S-farnesyl-protein[c]	2	3.1821	0.30879	0.84569	-3.1821	0.68856	1	2.782	0.58451	0.97335	2	2.782	0.64242	0.99076	0	NA	NA	NA
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA[m];3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA[p]	3	-1.6771	0.84964	0.99999	1.6771	0.19586	0.82529	2.9202	0.6795	0.97978	2	0.24476	0.90904	0.99076	1	4.7118	0.14217	0.65625
(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA[m]	4	0.090196	0.72123	0.99999	-0.090196	0.32916	0.97846	3.8194	0.63761	0.97967	3	1.6899	0.86685	0.99076	1	4.7118	0.14217	0.65625
3alpha,7alpha,12alpha-trihydroxy-5beta-24-oxocholestanoyl-CoA[m]	6	1.0071	0.68074	0.99999	-1.0071	0.37168	1	1.7104	0.94112	0.98796	5	0.55476	0.98049	0.99076	1	2.9492	0.34564	0.90068
cholesterol-sulfate[c];pregnenolone sulfate[c];17alpha-hydroxypregnenolone sulfate[c]	2	-1.9606	0.84387	0.99999	1.9606	0.20662	0.83839	1.3096	0.78061	0.97978	1	-0.92644	0.91641	0.99076	1	2.7785	0.37	0.91745
cholesterol[c]	31	-5.1091	0.99936	0.99999	9.8018	6.083e-05	0.0055433	16.447	0.10394	0.52653	15	6.6588	0.9153	0.99076	16	16.446	0.00039671	0.047143
STAR[c];cholesterol-STAR[c]	7	-7.5034	0.99869	0.99999	12.441	6.3411e-05	0.0055433	9.6387	0.099524	0.52007	3	0.918	0.92098	0.99076	4	11.956	0.00094407	0.079191
cholesterol[m]	7	-2.8536	0.95047	0.99999	2.8536	0.087569	0.62686	7.2411	0.35548	0.85452	3	3.3478	0.67975	0.99076	4	6.6798	0.13791	0.65625
22beta-hydroxycholesterol[m]	4	-0.24971	0.75324	0.99999	0.24971	0.29837	0.93502	5.3477	0.40977	0.87893	2	3.6015	0.5206	0.99076	2	3.9613	0.31702	0.88096
isocaproic-aldehyde[c]	3	3.2135	0.34295	0.85908	-3.2132	0.66398	1	5.2939	0.33057	0.84735	1	7.9566	0.018177	0.22178	2	0.85756	0.75885	0.9673
20-hydroxycholesterol[c];17alpha,20alpha-dihydroxycholesterol[c]	2	-6.1299	0.98728	0.99999	6.1299	0.030038	0.36734	5.8489	0.16987	0.63972	0	NA	NA	NA	2	5.8489	0.11646	0.65625
17alpha-hydroxypregnenolone[c]	6	-6.02	0.99409	0.99999	6.02	0.015869	0.25638	5.186	0.59832	0.9765	1	-0.92644	0.91641	0.99076	5	6.0953	0.2373	0.81031
pregnenolone[c]	5	-3.4677	0.95498	0.99999	3.4677	0.079781	0.59531	5.6824	0.44239	0.9064	2	1.511	0.80256	0.99076	3	6.1022	0.13963	0.65625
cortisol[c]	4	-6.2016	0.99191	0.99999	6.2016	0.020188	0.28903	5.662	0.36413	0.85452	0	NA	NA	NA	4	5.662	0.2418	0.81031
17alpha-hydroxyprogesterone[c]	3	-5.6769	0.98652	0.99999	5.6769	0.028501	0.35596	5.198	0.34392	0.85452	0	NA	NA	NA	3	5.198	0.23152	0.81031
progesterone[c]	3	-1.6862	0.85027	0.99999	1.6862	0.19521	0.82529	7.4994	0.10048	0.52345	1	5.1985	0.15524	0.70024	2	5.5089	0.14372	0.65625
bilirubin-bisglucuronoside[r]	11	9.9591	0.028619	0.28287	-9.9591	0.96467	1	10.549	0.15385	0.61753	10	10.461	0.20557	0.81349	1	1.9063	0.50057	0.96722
estradiol-17beta[r]	40	4.1184	0.77184	0.99999	-4.1184	0.34003	0.98975	14.096	0.63779	0.97967	24	11.646	0.68404	0.99076	16	8.0243	0.44561	0.95692
estradiol-17beta 3-glucuronide[r]	12	6.8047	0.17863	0.65973	-6.8047	0.82758	1	10.031	0.24701	0.76266	10	8.9171	0.40809	0.99076	2	4.6308	0.2326	0.81031
17alpha-hydroxyprogesterone[r]	3	-5.6769	0.98652	0.99999	5.6769	0.028501	0.35596	5.198	0.34392	0.85452	0	NA	NA	NA	3	5.198	0.23152	0.81031
pregnenolone[r]	3	-4.6318	0.97158	0.99999	4.6318	0.051573	0.49359	3.9632	0.52743	0.95019	1	-0.92644	0.91641	0.99076	2	5.5089	0.14372	0.65625
progesterone[r]	2	-5.8311	0.98409	0.99999	5.8311	0.035607	0.39811	5.5089	0.20463	0.70054	0	NA	NA	NA	2	5.5089	0.14372	0.65625
17alpha-hydroxypregnenolone[r]	3	-5.6769	0.98652	0.99999	5.6769	0.028501	0.35596	5.198	0.34392	0.85452	0	NA	NA	NA	3	5.198	0.23152	0.81031
dehydroepiandrosterone[r]	4	-4.8044	0.9773	0.99999	4.8044	0.04524	0.4605	4.0384	0.60601	0.97734	1	-0.92644	0.91641	0.99076	3	5.198	0.23152	0.81031
4-androstene-3,17-dione[r]	35	0.96977	0.93807	0.99999	-0.92466	0.12535	0.73336	14.437	0.43522	0.90068	17	11.209	0.43859	0.99076	18	9.2382	0.32929	0.89608
estrone[r]	33	1.3163	0.91594	0.99999	-1.3163	0.16327	0.80764	11.678	0.77092	0.97978	18	8.6957	0.8267	0.99076	15	7.7953	0.44465	0.95692
formate[r]	23	-0.31011	0.94046	0.99999	0.31011	0.11876	0.71797	10.365	0.64644	0.97967	12	6.9284	0.80078	0.99076	11	7.7513	0.29994	0.85543
testosterone[r]	34	3.9363	0.74411	0.99999	-3.8905	0.35864	1	14.307	0.41391	0.88145	19	12.213	0.3736	0.98993	15	7.7953	0.44465	0.95692
cortisone[r]	2	1.2023	0.53264	0.99999	-1.2023	0.49501	1	4.5498	0.3228	0.83965	1	4.1138	0.2776	0.91049	1	2.3207	0.43765	0.95692
cortisol[r]	4	-3.2072	0.93815	0.99999	3.2072	0.099437	0.67648	7.0353	0.19247	0.67873	1	4.1138	0.2776	0.91049	3	5.7486	0.17211	0.6884
cholesterol[r]	5	0.59893	0.69422	0.99999	-0.59893	0.35912	1	3.7473	0.72254	0.97978	3	2.5106	0.78598	0.99076	2	2.8502	0.47843	0.9652
testosterone glucuronide[r];androsterone-glucuronide[r]	2	5.2201	0.13619	0.57317	-5.2201	0.84397	1	4.9633	0.2685	0.78466	2	4.9633	0.31957	0.93608	0	NA	NA	NA
androsterone[r]	4	6.9491	0.081407	0.45289	-6.9491	0.90496	1	6.4717	0.25629	0.77413	4	6.4717	0.32471	0.94139	0	NA	NA	NA
16alpha-hydroxydehydroepiandrosterone[r]	2	-0.37322	0.70694	0.99999	0.37322	0.33949	0.98975	1.4798	0.76097	0.97978	1	0.72571	0.76887	0.99076	1	1.367	0.58219	0.9673
5alpha-androstane-3,17-dione[r]	4	9.9543	0.011783	0.15485	-9.8209	0.97953	1	11.349	0.0060987	0.14763	3	12.315	0.0012659	0.052729	1	1.367	0.58219	0.9673
5-alpha-dihydrotestosterone[c]	5	6.4407	0.1155	0.53515	-6.3214	0.86665	1	7.1951	0.23585	0.74938	3	8.7789	0.050024	0.38045	2	0.62454	0.78555	0.9673
5alpha-dihydrotestosterone-sulfate[c]	2	-0.12787	0.68169	0.99999	0.12787	0.36266	1	-0.99716	0.95082	0.98796	1	-0.92644	0.91641	0.99076	1	-0.48376	0.81983	0.96952
testosterone[c]	34	3.2911	0.80095	0.99999	-3.2454	0.2984	0.93502	13.682	0.50838	0.9497	18	11.802	0.39694	0.99076	16	7.4268	0.53649	0.9673
estriol[r];16-glucuronide-estriol[r];5alpha-dihydrotestosterone-glucuronide[r]	2	1.3082	0.52028	0.99999	-1.3082	0.50576	1	4.0898	0.38795	0.86589	1	3.8775	0.30939	0.9323	1	1.9063	0.50057	0.96722
5-alpha-dihydrotestosterone[r]	5	7.349	0.071738	0.42535	-7.2296	0.91057	1	10.412	0.026056	0.30818	3	11.552	0.0032347	0.0844	2	2.3146	0.55934	0.9673
dehydroepiandrosterone[c]	5	-4.547	0.9778	0.99999	4.547	0.046083	0.46639	3.5257	0.75003	0.97978	1	-0.92644	0.91641	0.99076	4	4.4051	0.41297	0.94785
acetate[r]	3	-4.5232	0.96943	0.99999	4.5232	0.054648	0.50575	3.9644	0.52725	0.95019	1	-0.76971	0.90658	0.99076	2	5.3996	0.15333	0.66304
dehydroepiandrosterone sulfate[c]	5	-2.1391	0.90444	0.99999	2.1391	0.14346	0.75377	4.6919	0.59153	0.9749	2	1.9325	0.75481	0.99076	3	4.4793	0.32379	0.888
4-androstene-3,17-dione[c]	35	-1.2191	0.98532	0.99999	1.2191	0.044224	0.45812	12.362	0.73841	0.97978	16	8.4854	0.77984	0.99076	19	8.9916	0.40644	0.94135
5alpha-androstane-3,17-dione[c];7alpha,12alpha-dihydroxy-5beta-cholestan-3-one[c];7alpha-hydroxy-5beta-cholestan-3-one[c]	2	3.2893	0.29778	0.8365	-3.2893	0.69816	1	3.6754	0.44954	0.90993	1	5.1985	0.15524	0.70024	1	-0.0007165	0.76735	0.9673
androsterone[c]	2	3.9242	0.23663	0.75506	-3.9242	0.75201	1	3.0208	0.54875	0.9571	2	3.0208	0.60783	0.99076	0	NA	NA	NA
(R)-mevalonate[c]	2	-3.1949	0.9151	0.99999	3.1949	0.12869	0.74481	2.7524	0.5889	0.9749	0	NA	NA	NA	2	2.7524	0.49323	0.96722
(R)-5-phosphomevalonate[c]	2	0.0041712	0.66774	0.99999	-0.0041712	0.37535	1	1.364	0.77443	0.97978	1	0.96814	0.73902	0.99076	1	0.96089	0.64158	0.9673
(R)-5-diphosphomevalonate[c]	2	0.21266	0.64523	0.99999	-0.21266	0.39565	1	1.0991	0.80357	0.98237	1	0.96814	0.73902	0.99076	1	0.58617	0.69353	0.9673
squalene[c]	2	-0.97968	0.76501	0.99999	0.97968	0.2849	0.92911	-0.84793	0.94476	0.98796	0	NA	NA	NA	2	-0.84793	0.91153	0.97296
squalene 2,3-oxide[c]	2	-4.0979	0.94928	0.99999	4.0979	0.086502	0.62175	2.4836	0.6282	0.97734	0	NA	NA	NA	2	2.4836	0.53391	0.9673
lanosterol[c]	3	-9.1043	0.99936	0.99999	9.1043	0.0025529	0.075644	8.8778	0.035603	0.33405	0	NA	NA	NA	3	8.8778	0.01575	0.30306
4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol[c];4,4-dimethyl-5alpha-cholesta-8,14-dien-3-beta-ol[c]	3	1.0337	0.59372	0.99999	-1.0337	0.44154	1	5.5657	0.29394	0.81208	2	3.8168	0.48779	0.99076	1	4.2423	0.1864	0.72035
14-demethyllanosterol[c];4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol[c]	4	-1.6302	0.86075	0.99999	1.6302	0.18894	0.82355	7.2714	0.16891	0.63972	2	3.8168	0.48779	0.99076	2	6.4666	0.076727	0.57891
4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c];4alpha-formyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c];4alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol[c];4alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol[c];4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[c];4alpha-formyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[c];4alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol[c];4alpha-formyl-5alpha-cholesta-8-en-3beta-ol[c]	2	-6.6794	0.99171	0.99999	6.6794	0.021682	0.30064	6.4666	0.11704	0.55404	0	NA	NA	NA	2	6.4666	0.076727	0.57891
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	4	-0.92605	0.81062	0.99999	0.92605	0.24137	0.90054	8.1869	0.09577	0.51575	2	5.1115	0.2996	0.93225	2	6.4666	0.076727	0.57891
3-keto-4-methylzymosterol[c]	3	5.0715	0.17075	0.6476	-5.0715	0.8185	1	4.5925	0.4321	0.89838	3	4.5925	0.49324	0.99076	0	NA	NA	NA
4alpha-methylzymosterol[c];4alpha-methyl-cholesta-8-enol[c]	3	-4.7666	0.97406	0.99999	4.7666	0.047951	0.48059	5.6989	0.2767	0.7962	1	0.72571	0.76887	0.99076	2	6.4666	0.076727	0.57891
4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol[c];4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[c];4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol[c]	3	-3.7318	0.94946	0.99999	3.7318	0.081621	0.60373	6.8753	0.14893	0.61319	1	2.7633	0.47536	0.99076	2	6.4666	0.076727	0.57891
5alpha-cholesta-8,24-dien-3-one[c];4alpha-methyl-5alpha-cholesta-8-en-3-one[c];5alpha-cholesta-8-en-3-one[c]	2	2.9503	0.33314	0.85656	-2.9503	0.6674	1	2.4671	0.63057	0.97734	2	2.4671	0.68627	0.99076	0	NA	NA	NA
zymosterol[c];cholestenol[c]	3	-2.272	0.88686	0.99999	2.272	0.15572	0.78847	3.3803	0.61445	0.97734	2	0.26714	0.90763	0.99076	1	5.4771	0.086424	0.6069
5alpha-cholesta-7,24-dien-3beta-ol[c];lathosterol[c]	3	-2.4902	0.89871	0.99999	2.4902	0.14247	0.75377	3.0828	0.65701	0.97978	2	-0.097278	0.92862	0.99076	1	5.4771	0.086424	0.6069
7-dehydrodesmosterol[c]	2	0.94191	0.56292	0.99999	-0.94191	0.46858	1	-0.036142	0.90092	0.98725	2	-0.036142	0.92538	0.99076	0	NA	NA	NA
desmosterol[c]	2	-3.5912	0.93178	0.99999	3.5912	0.10869	0.70084	3.688	0.44763	0.90843	1	-0.26146	0.86891	0.99076	1	5.4771	0.086424	0.6069
provitamin D3[c]	3	-3.0301	0.92409	0.99999	3.0301	0.11302	0.7122	3.7097	0.56568	0.96389	2	-0.036142	0.92538	0.99076	1	6.4766	0.04049	0.43412
24,25-dihydrolanosterol[c]	2	-7.0667	0.99396	0.99999	7.0667	0.017051	0.26386	6.8727	0.089377	0.50125	0	NA	NA	NA	2	6.8727	0.056864	0.51649
geranyl-PP[c]	3	2.0954	0.46997	0.97138	-2.0954	0.55204	1	1.6907	0.82507	0.9838	2	2.3473	0.70233	0.99076	1	-0.39131	0.81041	0.9673
estradiol-17beta[c]	31	0.59171	0.94038	0.99999	-0.59171	0.12255	0.72528	11.519	0.73316	0.97978	16	8.4854	0.77984	0.99076	15	7.7953	0.44465	0.95692
estrone[c]	35	2.1023	0.88642	0.99999	-2.1023	0.1994	0.83212	12.204	0.75786	0.97978	19	9.6821	0.74802	0.99076	16	7.4995	0.52544	0.9673
estrone 3-sulfate[c]	10	1.7362	0.67931	0.99999	-1.7362	0.38265	1	7.4867	0.49454	0.94215	6	5.7389	0.60517	0.99076	4	4.8088	0.35409	0.91
